corp_code,corp_name,stock_code,avg_revenue_last_3y,total_assets
00203847,국일신동,060480,25973545938.7,47371533602
00204226,소프트센,032680,64786371525.3,96907853710
00204642,티비씨,033830,42091058361.7,135621536292
00205003,좋은사람들,033340,84407462463.0,80836869755
00205687,더라미,032860,61106842358.7,61829083163
00206686,케이피엠테크,042040,38476943919.7,170108937714
00208134,KNN,058400,66963464324.3,236345158411
00217743,화성밸브,039610,89446677729.7,130853121273
00220109,알파AI,043100,25694674092.3,65791538498
00220622,서호전기,065710,57602249580.7,101975372921
00222435,제이엠아이,033050,73309736280.7,87290299109
00225742,LS마린솔루션,060370,81281900240.0,254269530607
00230036,드래곤플라이,030350,16447196672.7,23277392430
00230425,나노엔텍,039860,30833747720.3,79006525914
00230814,휴림에이텍,078590,59172999119.0,75311465150
00230911,HRS,036640,81499653803.0,135813546382
00231044,우리기술,032820,61303627661.3,265459207084
00231442,디지틀조선,033130,36080453508.7,97987729519
00231691,판타지오,032800,42040466718.3,89639124348
00231707,비트컴퓨터,032850,35222636561.7,79599021559
00231831,조아제약,034940,64849049777.0,71320036771
00231901,LB인베스트먼트,309960,25454974730.3,129653934395
00232007,상지건설,042940,82697369763.3,200598655166
00232089,바이온,032980,16240515269.3,84728806115
00232821,에이치엠넥스,036170,14368489427.3,125112174224
00234227,유진로봇,056080,29936824469.0,54727736447
00235183,에이치케이,044780,67343712291.7,79002808033
00238001,블루콤,033560,36566877747.3,201507128401
00238199,로지시스,067730,37377543960.3,28972433530
00241209,모아텍,033200,30501831613.7,78048084563
00242712,엘컴텍,037950,51874385405.3,83213523150
00243979,수성웹툰,084180,54075386072.0,250764027496
00244783,한네트,052600,24251132785.7,54034084668
00245694,남화산업,111710,25269828184.7,199918904401
00246620,케이엘넷,039420,50466719056.3,66483193487
00249441,씨씨에스,066790,18968185039.3,38009612874
00249502,골드앤에스,035290,9677535499.0,15859935324
00250137,와이어블,065530,72098674789.0,138956917494
00250997,대정화금,120240,94064985925.3,202155153133
00252269,아이에이,038880,61372276312.7,144406552899
00255105,케이바이오랩스,038530,44989259769.7,117148991945
00255433,라온시큐어,042510,53719107380.0,71507775288
00256043,비씨월드제약,200780,74209186442.0,176312918381
00256502,에이텍,045660,17643307475.7,163064041455
00256715,국순당,043650,71307267427.3,256323191806
00257732,한국정밀기계,101680,49906944780.3,72476385281
00258421,기산텔레콤,035460,78255102021.7,113278751875
00259590,바른손이앤에이,035620,19730553928.0,111166407353
00259934,예림당,036000,21308721602.0,197005789464
00260611,웰킵스하이텍,043590,23655876665.7,57796786445
00260745,서울평가정보,036120,37785135749.3,36729652472
00261054,EG,037370,65733461020.7,151951948568
00261656,잉크테크,049550,66094396539.0,158897053834
00262266,삼현,437730,89638083547.0,140292826674
00263654,오스코텍,039200,14673636390.7,170778209860
00264228,위즈코프,038620,67310465671.3,111624846722
00264671,세중,039310,37231500258.7,117292161120
00264714,SG&G,040610,45126853144.0,453424090839
00264732,파인디지털,038950,83209658708.0,107567274959
00265005,옴니시스템,057540,99522098633.3,132528055670
00266934,파루,043200,40946583402.0,59225344153
00267854,메디앙스,014100,62143682510.0,112758532404
00267881,보성파워텍,006910,69918525879.7,97163663127
00270113,멕아이씨에스,058110,17794752813.0,59449795128
00273110,에스티큐브,052020,7809028368.7,111904280105
00273439,메디아나,041920,67935635554.3,139558595671
00276083,피노,033790,16349801222.3,116276610434
00287812,에코심플렉스,038870,16864750636.3,118346223804
00288343,삼영이엔씨,065570,33780893330.7,54900955641
00292434,인트론바이오,048530,10003417179.0,86374616475
00295547,디지아이,043360,17720755797.3,45133043361
00296005,우리로,046970,66996000885.0,60010106091
00296078,APS,054620,58611445161.7,413209095861
00296263,YW,051390,24601736914.3,96527287234
00296324,큐로홀딩스,051780,67828421245.3,80516362752
00297448,플래스크,041590,24763506157.3,50568407133
00297989,오르비텍,046120,63250634127.0,109316520215
00301112,삼화네트웍스,046390,63799876850.0,68092560200
00303703,CS,065770,35338844501.3,23962754816
00303794,쇼박스,086980,63324029669.7,154046787722
00305570,코스리거글로벌,043710,17335477746.3,50230859238
00306870,손오공,066910,49684274087.7,57702751747
