corp_code,corp_name,stock_code,year,avg_revenue_last_3y,total_assets,revenue,operating_income,net_income,total_assets_statement,total_liabilities,total_equity,created_at
00144012,원풍,008370,2023,80961701208.0,98313590517,73785384649.0,4553856379.0,6730910232.0,96227950225.0,7010332473.0,89217617752.0,2026-05-26
00144012,원풍,008370,2024,80961701208.0,98313590517,79609134649.0,4547912675.0,7106011150.0,98313590517.0,6735545572.0,91578044945.0,2026-05-26
00144021,원풍물산,008290,2022,28187710822.0,52346111760,33122390538.0,65693803.0,-3507733198.0,33088296547.0,19028790174.0,14059506373.0,2026-05-26
00144021,원풍물산,008290,2023,28187710822.0,52346111760,28718932942.0,-2103564154.0,-2664683663.0,33444831395.0,22048640759.0,11396190636.0,2026-05-26
00144021,원풍물산,008290,2024,28187710822.0,52346111760,22721808986.0,-4699113271.0,-2153583457.0,52346111760.0,31801948378.0,20544163382.0,2026-05-26
00145473,이글벳,044960,2022,42683340923.7,61237139526,43539693973.0,3555156850.0,2643394338.0,54866441675.0,11912161501.0,42954280174.0,2026-05-26
00145473,이글벳,044960,2023,42683340923.7,61237139526,42793696742.0,3325250849.0,2975898312.0,58479338863.0,13136322515.0,45343016348.0,2026-05-26
00145473,이글벳,044960,2024,42683340923.7,61237139526,41716632056.0,3466835816.0,3705275819.0,61237139526.0,12647300570.0,48589838956.0,2026-05-26
00145914,인터엠,017250,2022,56662227198.7,85947980904,58684341336.0,3067556701.0,1006702551.0,81812903668.0,50458913560.0,31353990108.0,2026-05-26
00145914,인터엠,017250,2023,56662227198.7,85947980904,50963849828.0,10773303544.0,8227279919.0,84584709948.0,45698097824.0,38886612124.0,2026-05-26
00145914,인터엠,017250,2024,56662227198.7,85947980904,60338490432.0,4404496692.0,2310580605.0,85947980904.0,45627859152.0,40320121752.0,2026-05-26
00146427,한주에이알티,058450,2022,10115513469.7,37285619002,5581476636.0,-5607422546.0,-8015367436.0,19765113041.0,15236089997.0,4529023044.0,2026-05-26
00146427,한주에이알티,058450,2023,10115513469.7,37285619002,10500794559.0,-2928750062.0,-3195387807.0,38882847669.0,19780183812.0,19102663857.0,2026-05-26
00146427,한주에이알티,058450,2024,10115513469.7,37285619002,14264269214.0,-6507549393.0,-10011720046.0,37285619002.0,16909126578.0,20376492424.0,2026-05-26
00148531,제이스코홀딩스,023440,2022,55953336184.0,105895522703,84143041881.0,-6191488893.0,-27157810158.0,136600201907.0,73428637872.0,63171564035.0,2026-05-26
00148531,제이스코홀딩스,023440,2023,55953336184.0,105895522703,55349435845.0,-8360586051.0,-24383417124.0,127924724055.0,65145719325.0,62779004730.0,2026-05-26
00148531,제이스코홀딩스,023440,2024,55953336184.0,105895522703,28367530826.0,-14685650467.0,-26718018879.0,105895522703.0,56844124351.0,49051398352.0,2026-05-26
00149770,중앙에너비스,000440,2022,58968555761.0,58475728545,71620870966.0,811819806.0,500081876.0,63421752822.0,4601893188.0,58819859634.0,2026-05-26
00149770,중앙에너비스,000440,2023,58968555761.0,58475728545,55473865404.0,-739276625.0,-251207664.0,61533132670.0,4503843144.0,57029289526.0,2026-05-26
00149770,중앙에너비스,000440,2024,58968555761.0,58475728545,49810930913.0,-1746232659.0,-943603348.0,58475728545.0,3915805410.0,54559923135.0,2026-05-26
00150536,진양제약,007370,2022,94291663868.7,227573668178,75834696275.0,10708912517.0,11969078303.0,114443691192.0,37375475623.0,77068215569.0,2026-05-26
00150536,진양제약,007370,2023,94291663868.7,227573668178,93708173984.0,8682140059.0,12340410866.0,119906619842.0,31148856512.0,88757763330.0,2026-05-26
00150536,진양제약,007370,2024,94291663868.7,227573668178,113332121347.0,11708434539.0,29694145830.0,227573668178.0,107695873551.0,119877794627.0,2026-05-26
00151605,THE CUBE&,013720,2022,30610774932.7,78829190132,36024332730.0,393425760.0,-29696021886.0,74368330190.0,31734808266.0,42633521924.0,2026-05-26
00151605,THE CUBE&,013720,2023,30610774932.7,78829190132,31359260218.0,787375316.0,-13335949581.0,80678884740.0,28755407435.0,51923477305.0,2026-05-26
00151605,THE CUBE&,013720,2024,30610774932.7,78829190132,24448731850.0,1408110915.0,-14778691934.0,78829190132.0,20528684499.0,58300505633.0,2026-05-26
00152589,코리아나,027050,2022,82965025165.3,107779542466,80393939400.0,876082758.0,1500042306.0,105528766492.0,22780360687.0,82748405805.0,2026-05-26
00152589,코리아나,027050,2023,82965025165.3,107779542466,86049461423.0,935688865.0,1767236217.0,112490645985.0,26686326034.0,85804319951.0,2026-05-26
00152589,코리아나,027050,2024,82965025165.3,107779542466,82451674673.0,440823327.0,783926037.0,107779542466.0,21456985570.0,86322556896.0,2026-05-26
00152783,코메론,049430,2022,75746687336.7,244243219582,82710338752.0,15337972136.0,15815699212.0,207719196317.0,13204012049.0,194515184268.0,2026-05-26
00152783,코메론,049430,2023,75746687336.7,244243219582,70580550198.0,8974525316.0,15319484327.0,211744326657.0,4506479490.0,207237847167.0,2026-05-26
00152783,코메론,049430,2024,75746687336.7,244243219582,73949173060.0,19932389780.0,27249820147.0,244243219582.0,9831775825.0,234411443757.0,2026-05-26
00155373,풍강,093380,2022,91257783828.7,91015824632,83422538833.0,3012329509.0,4349914434.0,89226389219.0,19913071198.0,69313318021.0,2026-05-26
00155373,풍강,093380,2023,91257783828.7,91015824632,97322976980.0,5238490101.0,5625015653.0,90996579882.0,17628311507.0,73368268375.0,2026-05-26
00155373,풍강,093380,2024,91257783828.7,91015824632,93027835673.0,1149162523.0,-907929584.0,91015824632.0,20766325778.0,70249498854.0,2026-05-26
