통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","당좌비율","%","원자료","","","","","","102.38","98.42","87.88","73.59","72.68","74.01","80.61","78.38"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","현금비율","%","원자료","","","","","","30.24","19.89","14.13","16.91","17.42","15.23","14.83","18.90"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","비유동비율","%","원자료","","","","","","109.56","113.63","125.66","139.21","128.28","128.38","131.34","136.11"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","비유동장기적합률","%","원자료","","","","","","76.20","78.29","82.17","89.31","86.51","85.90","85.00","86.71"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","부채비율","%","원자료","","","","","","97.94","101.68","117.61","135.78","131.04","128.88","125.81","133.43"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","유동부채비율","%","원자료","","","","","","54.16","56.54","64.68","79.92","82.76","79.42","71.30","76.44"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","비유동부채비율","%","원자료","","","","","","43.79","45.14","52.93","55.87","48.28","49.46","54.51","56.98"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","차입금의존도","%","원자료","","","","","","33.84","34.44","38.10","39.07","39.41","40.73","40.97","42.37"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","차입금대매출액","%","원자료","","","","","","31.46","34.22","37.65","40.34","36.05","36.32","38.35","42.58"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","매출채권대매입채무","%","원자료","","","","","","116.95","90.26","97.93","88.79","101.81","113.89","119.60","122.17"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","순운전자본대총자본","%","원자료","","","","","","17.29","15.62","12.53","7.06","8.66","9.21","10.26","8.94"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","자기자본비율","%","원자료","","","","","","40.01","37.97","35.70","34.24","33.84","33.13","31.91","31.93"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","유동비율","%","원자료","","","","","","102.38","99.08","96.83","100.42","100.99","100.42","95.69","94.09"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","당좌비율","%","원자료","","","","","","72.96","69.33","67.23","70.30","73.17","71.38","67.01","67.28"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","현금비율","%","원자료","","","","","","18.72","16.09","14.53","16.71","18.83","15.62","14.40","15.41"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","비유동비율","%","원자료","","","","","","164.99","176.93","186.39","193.27","194.30","200.13","209.07","208.98"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","비유동장기적합률","%","원자료","","","","","","98.81","100.45","101.68","99.78","99.49","99.79","102.30","103.23"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","부채비율","%","원자료","","","","","","149.96","163.33","180.12","192.06","195.49","201.83","213.34","213.15"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","유동부채비율","%","원자료","","","","","","82.99","87.20","96.80","98.38","100.19","101.26","108.97","110.72"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","비유동부채비율","%","원자료","","","","","","66.97","76.13","83.32","93.69","95.30","100.56","104.38","102.43"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","차입금의존도","%","원자료","","","","","","45.76","48.54","50.19","51.96","52.28","52.55","53.07","53.03"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","차입금대매출액","%","원자료","","","","","","87.09","96.67","104.53","105.51","106.11","109.31","116.50","116.58"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","매출채권대매입채무","%","원자료","","","","","","152.98","150.20","141.16","147.18","152.45","143.16","138.43","146.54"
